OBJECTID,UID,POSTALCODE,MUNICIPAL,PROV,LONGITUDE,LATITUDE,NUMBER OF DOGS,DERP FACTOR
11399,67C10A57-D1D7-4613-BFCF-99E92D621B3F,L0R1B0,LINCOLN,ON,-79.503588,43.18910275,19,49
11400,CC8E60F8-F0B7-42F8-BA9F-F780733F948A,L0R1B0,LINCOLN,ON,-79.50397075,43.18952389,18,64
11401,CCA333B0-0CD8-43B3-BED2-684E7CC39BBC,L0R1B0,LINCOLN,ON,-79.50710525,43.19306508,12,136
11403,284B0C45-F973-401A-95BB-5D9E29B2E9CC,L0R1B0,LINCOLN,ON,-79.47500783,43.18864712,20,97
11405,3D5195CF-3A18-4044-9271-86F2FFAF341C,L0R1B0,LINCOLN,ON,-79.47769986,43.18839622,1,65
11406,32BA1C6B-845A-4278-9864-1F410948761B,L0R1B0,LINCOLN,ON,-79.477195,43.18822,10,600
11410,92E309A1-272A-4EF1-B74B-4143E80401AC,L0R1B0,LINCOLN,ON,-79.47295156,43.18073525,13,500
11411,EFC03670-B4EB-44D6-B101-700C0B6387BA,L0R1B0,LINCOLN,ON,-79.47628817,43.18648321,11,650
11412,0B9FB699-8D1C-4C87-8DFA-862CE0517910,L0R1B0,LINCOLN,ON,-79.44528613,43.18946988,19,267
11413,D93D0E59-CD8F-402F-9460-A6624B935DCA,L0R1B0,LINCOLN,ON,-79.475078,43.16675463,14,151
11414,6958F3BC-05CA-4036-9812-EAE4EF6737C6,L0R1B0,LINCOLN,ON,-79.4757144,43.1658616,2,231
11415,1985A5D6-CC89-44D4-9E3A-2200D24FE575,L0R1B0,LINCOLN,ON,-79.44740088,43.18639313,11,89
11422,1C232118-3E4B-4C92-97F8-1997CD9B8B81,L0R1B0,LINCOLN,ON,-79.44625391,43.1881909,10,204
11423,68E8D05F-C22D-4E93-98FB-CB1DF892C7D9,L0R1B0,LINCOLN,ON,-79.47952525,43.179239,13,106
11431,DD43FE96-CD6E-469D-99BF-A860CC391D2D,L0R1B0,LINCOLN,ON,-79.47643295,43.189694,2,25
11432,5FAFA69E-730F-4DBC-8A76-F9520C1FB301,L0R1B0,LINCOLN,ON,-79.47840017,43.18838706,8,299
11433,2E2093E2-093E-42A7-BEDF-B663DE5B11C2,L0R1B0,LINCOLN,ON,-79.47477157,43.189616,6,290
11434,7E8E4E5A-F0C9-4C5F-8F47-B430E81CC76A,L0R1B0,LINCOLN,ON,-79.47682656,43.18991611,18,150
11435,9154DE6B-516B-4DBC-BA6B-E169EC7AE8A5,L0R1B0,LINCOLN,ON,-79.47906327,43.18950584,4,65
11436,CD3161AC-3473-4C1B-BAB3-1B282DB05E16,L0R1B0,LINCOLN,ON,-79.48359965,43.1893767,18,202
11437,3B8AC4EC-E870-4D57-961F-ED066BFF25F7,L0R1B0,LINCOLN,ON,-79.47756278,43.1878165,4,298
11438,D4DEA17B-2EEC-4B53-A0C4-6A3FCF0ECDD2,L0R1B0,LINCOLN,ON,-79.47700658,43.18654118,4,260
11439,85BC881E-A27B-49F8-84DC-BFE7574319E0,L0R1B0,LINCOLN,ON,-79.47750143,43.18652157,20,98
11440,ED343692-DDCC-4828-A7D8-0D427C202C0F,L0R1B0,LINCOLN,ON,-79.468625,43.159583,13,270
11441,F2421179-3BE5-470C-90BA-7166B9F46CB6,L0R1B0,LINCOLN,ON,-79.469817,43.1593925,0,178
11442,BA6D95B8-3347-40FD-81E2-7DCA86B770DD,L0R1B0,LINCOLN,ON,-79.45470843,43.17662057,5,48
11443,FF0751CF-C61B-4B6F-88B8-499AC26558E9,L0R1B0,LINCOLN,ON,-79.45488227,43.17704282,6,46
11445,1439AA28-2313-4C21-85CB-0D2F5639C2B0,L0R1B0,LINCOLN,ON,-79.4758782,43.163519,6,156
11453,5D93A0DE-283C-4CBE-ABBF-2751E0301574,L0R1B0,LINCOLN,ON,-79.51008785,43.15568315,11,899
11457,89116BD3-DEFA-4CAF-8B28-3B6B7CBB4F99,L0R1B0,LINCOLN,ON,-79.4816112,43.16263871,11,12
13821,F399EA0A-B8E4-4700-B353-0090C827184C,L0R1B0,LINCOLN,ON,-79.44306594,43.15267944,11,91
13830,F22826B4-7C2C-4850-8D57-8F9D0740CADB,L0R1B0,GRIMSBY,ON,-79.512646,43.13338314,7,250
13966,6D2AD4C2-3ED1-4240-B3BE-816796776C22,L0R1B0,GRIMSBY,ON,-79.52407607,43.16556969,7,217
13967,F7CD5B04-6CE3-47DF-B7FD-A0EC1735B34F,L0R1B0,GRIMSBY,ON,-79.51558537,43.16606951,15,261
14205,2C603123-4E43-4B36-BB18-B5A9E9A9B7D3,L0R1B0,LINCOLN,ON,-79.48765425,43.12041857,17,146
14207,E43B4EDB-FBF1-4B33-9389-286C46F38C76,L0R1B0,LINCOLN,ON,-79.47620266,43.16519517,14,189
14208,E7E30BC2-2C61-4CED-9B92-7DD869F1B551,L0R1B0,LINCOLN,ON,-79.47654317,43.163861,17,202
16896,D81663D3-D01F-4265-A59D-A8941C652EFF,L0R1B0,LINCOLN,ON,-79.47486533,43.16489067,1,26
17727,858B64EA-B847-4600-A0E3-1E16D4BB5565,L0R1B0,LINCOLN,ON,-79.50244816,43.14284612,17,207
3475,13B0AACA-6303-4CCD-8828-1BD04109773C,L0R1B1,LINCOLN,ON,-79.42155841,43.17725648,14,272
3576,B506B242-4EC1-404E-8746-EFF9A1FCCA89,L0R1B1,LINCOLN,ON,-79.45874633,43.15768655,10,109
5296,A0166882-9374-4D7E-9F8F-273BB93AC7CA,L0R1B1,LINCOLN,ON,-79.43801204,43.15517091,8,249
5317,78CC764E-8A19-422D-B2FC-8C551B1836D8,L0R1B1,LINCOLN,ON,-79.45053838,43.17936672,5,205
5344,45724AAD-BD07-4D82-B728-5B2E7C5281E5,L0R1B1,LINCOLN,ON,-79.43093482,43.18461462,15,42
5345,775E775B-53EC-4A60-8E68-C9C6E03F38FB,L0R1B1,LINCOLN,ON,-79.42999202,43.17816117,4,44
5363,EFE8130F-D55C-4AF4-9A4F-F3E44401D4FF,L0R1B1,LINCOLN,ON,-79.43130265,43.17343012,13,47
5395,7682B0B2-2AB3-4F21-AFB4-416976BAE802,L0R1B1,LINCOLN,ON,-79.44583537,43.19364979,2,149
5430,B48D714A-DC36-4CC5-B21C-91D8F69D7DD0,L0R1B1,LINCOLN,ON,-79.44130554,43.1846216,3,234
5488,E018C660-CCA7-42AA-9FF6-BF1B8098CD90,L0R1B1,LINCOLN,ON,-79.42428528,43.1925101,5,226
5489,37B05945-3615-4CE6-B02A-39704EB03C1E,L0R1B1,LINCOLN,ON,-79.41907464,43.19264498,19,179
5490,80DA2E53-C552-40A6-98AF-17AB0E28BC9A,L0R1B1,LINCOLN,ON,-79.45931184,43.19244746,7,219
5491,BC8453FC-D5B9-40DC-8DFA-1B4D3B872CBB,L0R1B1,LINCOLN,ON,-79.43119182,43.19255845,15,89
5493,7801BF6D-87E5-4F8B-B476-822B95500812,L0R1B1,LINCOLN,ON,-79.41044329,43.19209025,17,167
5496,75088A08-1A75-4D0C-B4EA-C06E9B983C6A,L0R1B1,LINCOLN,ON,-79.4415232,43.19299645,6,221
5518,9AC32381-DE82-42ED-A35A-5AAB04DFDC64,L0R1B1,LINCOLN,ON,-79.47072414,43.18685819,9,28
5523,30718F41-C5A0-4E1F-9340-0FDEB0721D9D,L0R1B1,LINCOLN,ON,-79.46009402,43.16622993,13,189
5540,E2DB7841-BFF3-4B0E-A61A-ACCF5D543D29,L0R1B1,LINCOLN,ON,-79.45406801,43.17279964,13,264
5541,B051A838-887F-4217-BA12-4AC640FE8231,L0R1B1,LINCOLN,ON,-79.45478444,43.17611255,1,248
5542,F2C1B100-8694-4198-9136-64839A83A623,L0R1B1,LINCOLN,ON,-79.45006792,43.17476927,10,19
5543,1A029BFA-CE14-4CF8-ADB9-7BBF07A1705F,L0R1B1,LINCOLN,ON,-79.45389001,43.17536447,15,195
5544,05CA5B5A-FA9F-4CB9-8311-86DA6F9C5717,L0R1B1,LINCOLN,ON,-79.45459876,43.17538266,19,160
5545,C762A278-B4F2-4B64-A0D1-684527F46775,L0R1B1,LINCOLN,ON,-79.45509026,43.17220908,20,230
5546,2CC5BA50-0C45-4B07-9463-1DD0F301B1C6,L0R1B1,LINCOLN,ON,-79.45403388,43.17419214,7,276
5547,829AD8A2-F177-407E-BC69-8F250B08CD6E,L0R1B1,LINCOLN,ON,-79.45406888,43.17348127,12,191
5548,534F5491-ACD0-4E31-9DEB-232406375F40,L0R1B1,LINCOLN,ON,-79.45518022,43.17426809,16,393
5549,14B000B8-C962-4784-8E7A-A18C94BB7C33,L0R1B1,LINCOLN,ON,-79.45464468,43.17471547,9,277
5551,AF3BA662-AF73-4EE0-A2B6-BED44A038853,L0R1B1,LINCOLN,ON,-79.45520119,43.17377386,10,396
5553,9CB4DE5F-FC3A-4F09-A513-D2A788D88521,L0R1B1,LINCOLN,ON,-79.45541785,43.17541621,5,223
5565,6C33635E-4778-4962-9E07-3E88F2FEBD93,L0R1B1,LINCOLN,ON,-79.45032607,43.16519495,20,310
5572,180FEFB5-7416-4AC1-9DD7-4D74FCEA6834,L0R1B1,LINCOLN,ON,-79.46111264,43.17545032,20,295
5576,BA6F364B-078B-4069-B88A-79890E39B3B1,L0R1B1,LINCOLN,ON,-79.4194973,43.16523465,0,273
5578,F469A25F-B599-4A3C-BBB5-574B28D47804,L0R1B1,LINCOLN,ON,-79.4405402,43.16535703,14,364
5580,62EBF182-1A65-482A-84ED-C166CD8BEFBF,L0R1B1,LINCOLN,ON,-79.45168118,43.18445182,13,278
5583,35CBF45B-F657-4F7C-85B4-2533BDBCFED8,L0R1B1,LINCOLN,ON,-79.44112503,43.17410024,19,330
5584,79E73E8D-8D03-411F-A752-A5BE2BB60091,L0R1B1,LINCOLN,ON,-79.44054656,43.17880471,5,327
5585,B28FACC4-5655-4B57-A794-E4354AF05D3E,L0R1B1,LINCOLN,ON,-79.469908,43.19049474,15,96
5587,C9F72F40-A00D-48A4-9C14-33910E798DB9,L0R1B1,LINCOLN,ON,-79.46163218,43.18454993,1,118
5618,338CB570-1F81-46C0-9151-05181A934BD5,L0R1B1,LINCOLN,ON,-79.40307308,43.18385841,7,96
5634,7268D02E-AF2A-469F-B83F-B6C4AB49DC36,L0R1B1,LINCOLN,ON,-79.40322774,43.17406458,15,120
5649,E3E8A619-CA82-4AC5-9EB6-E65D4AFD4BCF,L0R1B1,LINCOLN,ON,-79.45517874,43.17279895,19,246
5653,936AE5DD-D3B6-4E34-BEA5-3C6CB0A8AD43,L0R1B1,LINCOLN,ON,-79.45518237,43.17329186,17,243
5682,2670DB50-FB8F-486D-946C-C6814D62989B,L0R1B1,LINCOLN,ON,-79.41003666,43.18458071,1,279
5825,C6E67619-A339-4F23-A14C-88BC2D2BB847,L0R1B1,LINCOLN,ON,-79.42028012,43.18459277,20,128
8755,2B64F85D-DFA1-4C7A-842A-E1B558389654,L0R1B1,LINCOLN,ON,-79.42989405,43.16544928,11,29
11478,5E8CFD81-2147-439F-9363-57B1E5512CF3,L0R1B1,LINCOLN,ON,-79.46019322,43.17989373,19,163
13050,EA2FD61A-269F-4281-93DC-DBCA2117C9DB,L0R1B1,LINCOLN,ON,-79.40994237,43.17781769,17,700
13818,042320EF-E617-46FA-97F4-48E180765F0B,L0R1B1,LINCOLN,ON,-79.4171868,43.17829762,18,8
3575,B93D6821-C393-43E7-A7BB-F5E2ED0F0611,L0R1B2,LINCOLN,ON,-79.48778282,43.13672805,6,115
4997,6AE9BC72-E2FC-4548-90A2-CC324433D3E9,L0R1B2,GRIMSBY,ON,-79.51907461,43.13907863,12,83
4999,B35C211E-AA80-4F66-AFF5-0CDF651D87D4,L0R1B2,GRIMSBY,ON,-79.51841267,43.14709934,19,187
5001,C00934EE-445E-467E-8E49-19F760E3BD14,L0R1B2,GRIMSBY,ON,-79.51610795,43.15871782,4,67
5003,1C1E201D-ED14-485E-8757-04CE29E1CDCE,L0R1B2,GRIMSBY,ON,-79.51455923,43.17249235,0,76
5090,DD7E9255-C64A-4E73-AEE7-E244C75D5C66,L0R1B2,GRIMSBY,ON,-79.53446542,43.14044449,16,84
5171,7C03C73B-AB0D-41B9-8E61-C5E106DB07DF,L0R1B2,GRIMSBY,ON,-79.53012606,43.1431149,20,39
5297,96D8A2AE-240F-4A5E-872A-79A0A5882333,L0R1B2,LINCOLN,ON,-79.45165278,43.14282354,11,145
5303,65D80035-BFDB-4A0C-A221-D384BC65ED69,L0R1B2,LINCOLN,ON,-79.46499214,43.14137642,8,113
5304,FAAC589A-C7A1-4F52-A059-B82348476BC9,L0R1B2,LINCOLN,ON,-79.45573169,43.15850928,19,232
5319,1AEC7609-12DF-4987-B63C-1F12A6EC2441,L0R1B2,LINCOLN,ON,-79.47839085,43.13967619,4,275
5321,A86C3178-A329-4801-AD4E-96AF49F01D95,L0R1B2,LINCOLN,ON,-79.50947159,43.137575,9,115
5322,A987ACEB-DED4-4394-A6F9-D6866B94662F,L0R1B2,LINCOLN,ON,-79.50964203,43.14720648,1,253
5325,D9125A35-11C2-49FA-B6D3-75DB795948CE,L0R1B2,LINCOLN,ON,-79.50489318,43.1465,9,296
5326,F029DEAA-8DBB-4462-9CB2-D5E34605533C,L0R1B2,LINCOLN,ON,-79.47910162,43.14573259,20,68
5330,974D71B9-E32D-42A1-A5AF-0A83B210DE4D,L0R1B2,LINCOLN,ON,-79.49882422,43.12657826,14,101
5332,FAB69DCB-7E59-4901-8731-642FDD7B2D67,L0R1B2,LINCOLN,ON,-79.50177885,43.15988974,11,119
5335,343A2079-549B-472D-A5CF-51EDC393FEEC,L0R1B2,LINCOLN,ON,-79.44797583,43.12072633,12,151
5336,D4C199B6-AF15-4541-8CBE-32EA00961447,L0R1B2,LINCOLN,ON,-79.45822261,43.12509958,18,82
5353,06043448-E3BF-48B7-A9D9-88C9BB69EC1B,L0R1B2,LINCOLN,ON,-79.4486319,43.13011083,8,212
5385,C9B9A330-9F49-4B21-8DEF-9BB8AA909CCC,L0R1B2,LINCOLN,ON,-79.47739553,43.16839394,5,143
5390,D73F0BB3-1F2C-4E95-9510-D7992FED91F8,L0R1B2,LINCOLN,ON,-79.4784245,43.16963242,18,145
5403,002F9AF2-8333-4682-9A5A-4EFD6EEA30E4,L0R1B2,LINCOLN,ON,-79.49910507,43.13756058,19,271
5471,7FFD40D2-217B-4A9A-9731-553CEC010681,L0R1B2,LINCOLN,ON,-79.47744592,43.16678917,17,225
5509,71CD8712-43F1-46C3-979C-CFCA792835E6,L0R1B2,LINCOLN,ON,-79.4865243,43.162756,15,152
5510,CD711DC5-CDD7-4C1C-BBF5-9E93AB92ACE2,L0R1B2,LINCOLN,ON,-79.49035162,43.15803069,11,93
5511,A1B0099F-907A-4D9D-9B04-228CC486225C,L0R1B2,LINCOLN,ON,-79.48619551,43.14640217,7,200
5555,0786E5D0-5538-4FA0-822D-A327CAB0CCE6,L0R1B2,LINCOLN,ON,-79.47623228,43.14814734,6,215
5556,3E54C1C7-9DA1-469E-A239-5F649871FD42,L0R1B2,LINCOLN,ON,-79.48100495,43.13570739,5,112
5557,5E1634CD-9437-40C4-8924-3D5815545D37,L0R1B2,LINCOLN,ON,-79.47888413,43.12457107,18,51
5563,84AFB6AA-0767-4355-8337-36B6FCA1B45A,L0R1B2,LINCOLN,ON,-79.48633833,43.167323,4,63
5571,06EACFA8-109D-41CD-8B00-A35F6D6F03A9,L0R1B2,LINCOLN,ON,-79.47674073,43.15038388,20,22
5588,8275D21A-6593-4398-BAFA-CE0A79EAD376,L0R1B2,LINCOLN,ON,-79.46833614,43.12505706,7,268
5597,885F7F48-66DC-40C8-BCF0-420060FC3C31,L0R1B2,LINCOLN,ON,-79.48658804,43.16982478,16,137
5604,E6457678-C336-4717-9D8D-94444327521E,L0R1B2,LINCOLN,ON,-79.49668244,43.14737173,13,213
5625,19286190-0EFF-4840-BB43-F0FC502DADF0,L0R1B2,LINCOLN,ON,-79.48133127,43.11193957,10,34
5635,57277239-FBB7-4C9E-A7D1-EAAB8A84213A,L0R1B2,LINCOLN,ON,-79.44114957,43.13063329,8,57
5650,FF4D9C1D-C62C-4E94-8021-72A26AB95566,L0R1B2,LINCOLN,ON,-79.48718614,43.16903308,1,22
5651,FDE14DD3-486B-4D71-B118-CD633BBE6EF2,L0R1B2,LINCOLN,ON,-79.4926469,43.16525799,18,300
5685,50844A64-1F56-4B1C-B3EA-9C933746063A,L0R1B2,LINCOLN,ON,-79.49437648,43.15774204,6,71
13051,0111D873-8649-4FB7-9C4B-F5BED6E6A785,L0R1B2,LINCOLN,ON,-79.47803681,43.16523757,2,150
13829,DA1183D2-734E-46A2-B586-9246F7ADB41F,L0R1B2,LINCOLN,ON,-79.48714377,43.12755524,9,206
15040,7FF9107E-1292-4C66-AB55-81550DD8BCDF,L0R1B2,LINCOLN,ON,-79.51011884,43.16615132,4,222
15043,DC21D8E9-7A9A-4912-94D8-4DCDC93F19BC,L0R1B2,GRIMSBY,ON,-79.51327847,43.16592874,6,279
15044,F7F7A817-714E-4AAB-8485-DE3CD3FE1556,L0R1B2,GRIMSBY,ON,-79.51457632,43.16380871,16,56
16102,28580F84-75F6-4CE3-8C6E-985FB7DAD1C0,L0R1B2,GRIMSBY,ON,-79.52824981,43.15033425,6,27
16118,0A0A9704-5896-4806-910A-5106C0BC73E3,L0R1B2,GRIMSBY,ON,-79.52087996,43.16068529,14,142
16119,9E5A0D5F-B7D8-45FD-8D71-BB1D30EF0DFE,L0R1B2,GRIMSBY,ON,-79.52367672,43.16898542,9,193
16488,A10CC471-F619-4636-B8CD-B8E557214D97,L0R1B2,GRIMSBY,ON,-79.5234372,43.17466128,7,164
3474,2A227E48-4E93-492F-8243-AEAEBA2FA1C8,L0R1B3,LINCOLN,ON,-79.47921762,43.18735418,2,248
5293,B05320E9-A95D-4B59-A01A-7851C5122818,L0R1B3,LINCOLN,ON,-79.4691185,43.17310618,12,177
5306,8A2823B8-4FF4-4766-A25D-85B7BAE9AE4E,L0R1B3,LINCOLN,ON,-79.50766767,43.19499004,11,41
5323,29F79901-27B4-470A-952D-BB55640BB42F,L0R1B3,LINCOLN,ON,-79.50932377,43.17531446,18,89
5333,6F879812-0B87-4153-AC14-193E699DEAE8,L0R1B3,LINCOLN,ON,-79.50459862,43.16869646,7,283
5396,783B0E1E-3AA0-4F40-82BD-7AEEC03DC38F,L0R1B3,LINCOLN,ON,-79.48837853,43.19288224,0,53
5434,84D8CED9-4B13-42B6-AD59-1242305822A6,L0R1B3,LINCOLN,ON,-79.50253906,43.19249529,18,297
5466,893D898D-13E0-4009-B4B4-F93DB4235B36,L0R1B3,LINCOLN,ON,-79.48501204,43.17708684,2,420
5472,DC00BABA-F597-4F88-B873-AFAB87479E0F,L0R1B3,LINCOLN,ON,-79.47075375,43.17281699,18,379
5475,3A5DD8FE-5E05-41C3-807B-1114BB47DF4F,L0R1B3,LINCOLN,ON,-79.47138419,43.17161492,15,383
5476,FFB2E678-2075-4ED1-8906-90389B8072FA,L0R1B3,LINCOLN,ON,-79.4706442,43.17187403,13,492
5478,AA1C1CA0-D101-4313-8912-D4D7A9BBF29F,L0R1B3,LINCOLN,ON,-79.47071699,43.17569584,10,421
5480,C07B7B29-E91D-4662-BFB8-D39CE8498D37,L0R1B3,LINCOLN,ON,-79.46780834,43.17443816,19,270
5485,B2722C58-9FF7-4716-9F4F-67641E447A33,L0R1B3,LINCOLN,ON,-79.47077862,43.17345912,6,12
5494,122CBE77-8AD5-4356-8C6F-7A53EF8ADFD0,L0R1B3,LINCOLN,ON,-79.47085565,43.17418789,16,164
5500,A401FEBB-F24F-41EF-9243-3BA9057ACD62,L0R1B3,LINCOLN,ON,-79.47083841,43.17501774,9,326
5519,EE22BE4E-109B-4363-BC22-2A9E0029EFFC,L0R1B3,LINCOLN,ON,-79.47517774,43.18447568,18,486
5520,F81CB7C4-74C2-4FED-803F-F60F5F1202C3,L0R1B3,LINCOLN,ON,-79.47638037,43.18550655,17,205
5535,ECCF2A25-4494-45FB-8956-CA9A30F4447D,L0R1B3,LINCOLN,ON,-79.48636795,43.1713975,3,300
5573,D2FF372B-EF44-4512-A0F9-7F68898D259C,L0R1B3,LINCOLN,ON,-79.49173365,43.17558681,18,211
5599,D1785D0E-64F0-4993-BABC-4C9014314887,L0R1B3,LINCOLN,ON,-79.48659616,43.17029496,13,417
5600,494BF426-62EE-4BAC-861A-11CBDD40B2A4,L0R1B3,LINCOLN,ON,-79.49857536,43.19091324,1,35
5601,91FAEF56-FCEF-4367-88F7-2BC2413A0715,L0R1B3,LINCOLN,ON,-79.46780679,43.17233777,9,418
5603,14601FA9-BA52-4DA8-AB4D-BC09CDF3F81A,L0R1B3,LINCOLN,ON,-79.48258985,43.18136116,5,197
5606,F361702E-155B-4839-81B0-EF18FA43C0EA,L0R1B3,LINCOLN,ON,-79.50375774,43.17831613,16,77
5607,94106C4B-4D79-43B3-9023-289A97704E1E,L0R1B3,LINCOLN,ON,-79.50217609,43.187176,18,300
5608,6A0FF327-03C8-43B0-8F8E-1DE780EE5AEB,L0R1B3,LINCOLN,ON,-79.49953981,43.17661939,10,447
5610,4A3A9FA8-4826-40F4-B7CE-681B88297C42,L0R1B3,LINCOLN,ON,-79.50380496,43.18294436,9,272
5642,86CBD944-B787-47B1-91D0-9F6F27D06425,L0R1B3,LINCOLN,ON,-79.48368867,43.18560555,13,1000
5643,F7A3CD9B-094A-4832-A8B6-9CAB466AEE26,L0R1B3,LINCOLN,ON,-79.47709455,43.18274887,5,176
5652,AF746B0B-073B-4A4E-809F-6DCBCBB2804A,L0R1B3,LINCOLN,ON,-79.49171629,43.16935079,19,151
5656,DF4DF545-683F-4ECE-8C7D-2D1D95C0C38A,L0R1B3,LINCOLN,ON,-79.49600431,43.18785894,5,296
5668,6C0ACE8E-68CE-4A72-B2BF-20588D89C361,L0R1B3,LINCOLN,ON,-79.47559061,43.18213138,13,287
5684,FD6CE4CF-C95C-47C0-BEA8-C8421C28348B,L0R1B3,LINCOLN,ON,-79.49878052,43.18195488,3,275
5686,86D7D696-4984-4E7C-BB67-616940EFBE7E,L0R1B3,LINCOLN,ON,-79.49258134,43.18205811,16,9
5689,84D9699C-9B3F-457E-8CB3-E572A4236570,L0R1B3,LINCOLN,ON,-79.46865732,43.17438041,5,149
15038,F2873764-1B35-4E7C-B1EB-375C28E942A6,L0R1B3,LINCOLN,ON,-79.50988539,43.18395674,7,4
17722,93A1A4C5-1C40-4BC2-B702-FE1AA0DD0390,L0R1B3,LINCOLN,ON,-79.49141028,43.18622748,8,217
5516,490E87D9-2982-424E-BCE0-3693A2CD3B6B,L0R1B4,LINCOLN,ON,-79.47505137,43.18615972,14,167
5517,30265972-56FB-46CD-B442-9B77306644C3,L0R1B4,LINCOLN,ON,-79.46940982,43.18408686,2,477
5640,6F950EA8-F663-4F18-8EC9-E43408B7E321,L0R1B4,LINCOLN,ON,-79.48024524,43.18643115,11,182
5641,3534345E-4443-4B60-859B-9840EFB35B0F,L0R1B4,LINCOLN,ON,-79.4796813,43.18295373,8,301
5669,F872DFF2-51DD-4A95-9067-29BB04055E24,L0R1B4,LINCOLN,ON,-79.47122264,43.18202857,10,274
5461,FC9CA6A1-3F6D-4107-8095-F981689F799A,L0R1B5,LINCOLN,ON,-79.47250886,43.1721411,6,419
5468,F101C7B8-8F18-4BEF-852F-8CC2D8ACBB77,L0R1B5,LINCOLN,ON,-79.47220197,43.17751698,12,531
5470,EB6ABB89-FA45-4BE3-AE08-DFBDF5F5CDCE,L0R1B5,LINCOLN,ON,-79.48045248,43.17491998,4,499
5473,9F6BC7B5-C739-4297-B73A-E6D5F8B213B7,L0R1B5,LINCOLN,ON,-79.4716063,43.17263114,9,541
5474,70C51971-21C6-403E-8CC8-FB28BE67B25A,L0R1B5,LINCOLN,ON,-79.47131677,43.17204435,4,150
5479,DDCE05FB-EB85-407F-A129-D39E9C4B41AD,L0R1B5,LINCOLN,ON,-79.47163483,43.1759072,14,43
5484,67EC6CF5-D0A6-42F0-8278-2A130088A09F,L0R1B5,LINCOLN,ON,-79.47173778,43.17345329,20,58
5486,2A4D1300-8307-445D-9E63-CF8491AC8BC3,L0R1B5,LINCOLN,ON,-79.47189969,43.17935611,9,190
5492,1715BAA3-D67D-42DA-B5BC-EBF5E56DE3DC,L0R1B5,LINCOLN,ON,-79.47181953,43.17418972,5,445
5499,409C8A58-4B29-41EF-8B25-0341D25EAF0C,L0R1B5,LINCOLN,ON,-79.47245205,43.17497905,5,86
5503,C1B0CAF4-49D5-49C1-9632-A1C848BA3D63,L0R1B5,LINCOLN,ON,-79.47297944,43.1734721,8,322
5505,24E796E3-8141-4074-ACD3-A2E74F3D59A9,L0R1B5,LINCOLN,ON,-79.47467706,43.17719935,17,183
5506,341577C6-B60B-4C63-813D-6EF8570B8DB1,L0R1B5,LINCOLN,ON,-79.47381863,43.1759041,2,37
5515,23BE6B27-F9E8-48DC-AC9C-C5A97AC2E068,L0R1B5,LINCOLN,ON,-79.47405074,43.17334036,19,3
5528,637192A2-385A-4D98-B06A-7AB64A13F86C,L0R1B5,LINCOLN,ON,-79.47553331,43.17522096,16,183
5594,E91B9C99-E93C-4577-AAB3-3A403ACA58EF,L0R1B5,LINCOLN,ON,-79.4789576,43.17682637,8,41
5605,6A3E3E7A-D2F3-4239-8B54-F4140FD29F4B,L0R1B5,LINCOLN,ON,-79.48022174,43.17577649,3,77
